Account__c,Auth_Code__c,VM_Use_Count__c,distributor_id__c,End_Date__c,Hypervisor__c,isdevice__c,last_checkin_date__c,License_DB_Id__c,LicenseDB_Device_Id__c,licensedb_license_id__c,Marketplace__c,Parent_Authorization_Code__c,Product_Code__c,Product_Family__c,Quantity__c,reseller_id__c,Serial_Number__c,Software_Version__c,Software_version_group__c,Start_Date__c,Status__c,tenant_id__c,Parent_Device_Asset__r.License_DB_Id__c
0010g00001bBCUYAA4,16065724,,a0N7000000UHJWOEA5,2024-07-23,,YES,2019-12-02,D5003658111406386,D5003658,,0,16065724,PAN-PA-220,PA-220,1,00170000016XW60,012801116000,8.1.11,8.1,2019-07-23,ACTIVE,,
0017000000ZK0auAAD,,,a0N70000007gTWrEAM,2021-06-15,,YES,2017-02-01,D219738830021047,D2197388,,0,44969525,PAN-PA-200-LAB,PA-200,1,0017000001RL1wi,001606074861,7.1.7,7.1,2017-01-31,ACTIVE,,
0010g00001aErvFAAS,,,a0N70000007gTWhEAM,2022-06-05,ESXi,YES,2019-12-02,D52101121146931812,D5210112,,0,66313217,PAN-VM-300-PERP-BND2-BKLN-3YR,VM-300,1,0017000000ocLwU,007251000077363,9.0.5,9.0,2019-08-06,ACTIVE,,
0017000001VrZvHAAV,60041723,1,a0N70000007gTX0EAM,2020-04-29,,YES,2019-02-05,D2284713104915914,D2284713,,0,60041723,PAN-PA-500-2GB,PA-500,1,0017000000cIFGX,009401036227,7.0.15,7.0,2017-04-19,ACTIVE,,
0017000000rXtGYAA0,S7675115,,a0N7000000WDd2LEAT,2022-05-30,,YES,2019-06-12,D4908795110399868,D4908795,,0,13896416,PAN-PA-820,PA-820,1,0017000000yoauH,012001031507,8.1.8,8.1,2019-06-12,ACTIVE,,
0017000000tCcRFAA0,81229921,1,a0N7000000UHJWOEA5,2022-11-10,,YES,2018-03-15,D1923428114358857,D1923428,,0,81229921,PAN-PA-500-2GB,PA-500,1,0017000000jEJ4T,009401026507,7.1.14,7.1,2016-05-25,ACTIVE,,
0017000000qLeTsAAK,95015036,1,a0N70000007gTWrEAM,2019-02-01,,YES,2019-05-07,D179134722948768,D1791347,,0,95015036,PAN-PA-200,PA-200,1,0017000000ZJmcQ,001606034037,7.1.0,7.1,2015-01-21,INACTIVE,,
00170000016TfbYAAS,S8609360,,a0N70000007gTWIEA2,2022-01-11,,YES,2019-12-02,D4490121109105009,D4490121,,0,61923531,PAN-PA-3250,PA-3250,1,0017000000dMqGq,016301002860,8.1.6,8.1,2019-05-14,ACTIVE,,
0017000000pescpAAA,18416240,1,a0N70000007gTWIEA2,2018-05-22,,YES,2019-07-18,D8774221767847,D87742,,0,18416240,PAN-PA-200,PA-200,1,0017000000ZMUXd,001606014151,8.0.6-h3,8.0,2013-10-21,INACTIVE,,
00170000018RyLoAAK,10194661,,a0N70000007gTWIEA2,2020-04-01,,YES,2019-05-08,D4600567103510513,D4600567,,0,10194661,PAN-PA-220,PA-220,1,0017000000bDVjE,012801095983,9.0.1,9.0,2019-04-01,ACTIVE,,
0017000001VscE4AAJ,29103145,,a0N70000007gTWFEA2,2024-10-03,,YES,2019-12-02,D5004243111563184,D5004243,,0,29103145,PAN-PA-5220-AC,PA-5220,1,0017000000tB5yD,013201016049,8.1.9-h4,8.1,2019-08-02,ACTIVE,,
0017000000vGUVxAAO,21408089,1,a0N70000007gTWVEA2,2020-09-24,,YES,2019-12-02,D42210751250002112,D4221075,,0,21408089,PAN-PA-220,PA-220,1,0017000000rW7Gf,012801080793,8.1.6,8.1,2019-05-07,ACTIVE,,
0017000000y1HxBAAU,S4140194,,a0N70000007gTWrEAM,2021-07-17,,YES,2019-11-28,D7573429547683,D75734,,0,29037827,PAN-PA-200,PA-200,1,0017000000yoauH,001606011825,7.1.5,7.1,2013-05-10,ACTIVE,,
0017000001RJm0QAAT,,,,2036-12-15,ESXi,YES,2019-03-26,D4675324104682697,D4675324,,0,69415621,PAN-VM-50-SP-PREM-BND2-YU,VM-50,1,,015351000026054,8.1.6,8.1,2019-03-25,ACTIVE,,
0017000001MUueCAAT,98935005,,a0N70000007gTWrEAM,2020-08-19,,YES,,D5130081114092040,D5130081,,0,98935005,PAN-PA-220,PA-220,1,0017000000kZIey,012801120200,,,2019-08-19,ACTIVE,,
0017000000hanlKAAQ,22266033,,a0N7000000WDd2LEAT,2017-06-16,NSX,YES,2017-04-26,D200732513877013,D2007325,,0,22266033,PAN-VM-1000-HV,VM-1000-HV,1,0017000000QOeuE,007900009294,7.1.3,7.1,2016-08-02,INACTIVE,,
0017000000n9fCPAAY,71135353,,a0N70000007gTWsEAM,2021-10-15,,YES,2019-12-02,D398785231840725,D3987852,,0,71135353,PAN-PA-7050-ASSY-AC,PA-7050,1,0017000000jDlcj,010108002187,8.1.9-h4,8.1,2018-10-15,ACTIVE,,
